,AGENCY,PDATE,DDATE,LOR,MIN_DAILY_FARE,AVG_DAILY_FARE,MONTH_PDATE,DAY_PDATE
7380,ZE,2019-01-01,2019-01-06,5,30.978,72.084418981481,01,01
8949,ZR,2019-01-01,2019-01-02,1,18.76,50.374388714734,01,01
444,ZT,2019-01-01,2019-01-06,5,24.966,38.488829113924,01,01
12372,ET,2019-01-01,2019-01-10,9,22.78666667,59.388324343528005,01,01
12373,ZD,2019-01-01,2019-01-10,9,26.00888889,52.202660914822,01,01
12374,ZE,2019-01-01,2019-01-10,9,21.29555556,51.306187106946,01,01
12381,ZE,2019-01-01,2019-01-07,6,26.01333333,60.680142741893995,01,01
12382,AL,2019-01-01,2019-01-07,6,24.04333333,57.141155484409,01,01
12383,ET,2019-01-01,2019-01-07,6,23.885,58.745245725321,01,01
12391,AL,2019-01-01,2019-01-04,3,24.95333333,62.922938731526,01,01
12392,ZD,2019-01-01,2019-01-06,5,37.566,75.95827672956,01,01
12393,ZE,2019-01-01,2019-01-08,7,22.48428571,53.06081608616,01,01
12394,AL,2019-01-01,2019-01-08,7,22.22,50.53946886496801,01,01
12411,ET,2019-01-01,2019-01-05,4,27.945,65.541607142857,01,01
12428,ZL,2019-01-01,2019-01-09,8,57.61875,76.175213022508,01,01
12438,AL,2019-01-01,2019-01-05,4,24.95,68.324091614907,01,01
8953,ZT,2019-01-01,2019-01-07,6,21.00166667,30.658311966667,01,01
8955,ZT,2019-01-01,2019-01-03,2,18.71,34.024070512821005,01,01
8956,ZI,2019-01-01,2019-01-03,2,40.07,81.56040192926,01,01
8966,ZL,2019-01-01,2019-01-04,3,91.08,100.486728971963,01,01
8967,ZE,2019-01-01,2019-01-04,3,30.17,77.448544973889,01,01
8971,ZT,2019-01-01,2019-01-08,7,18.17285714,40.033874942141,01,01
8972,ZL,2019-01-01,2019-01-08,7,58.00285714,69.78552259262,01,01
1900,AL,2019-01-01,2019-01-10,9,21.02,57.88081292095801,01,01
8944,ZT,2019-01-01,2019-01-10,9,16.89888889,30.65170082644,01,01
10684,ZR,2019-01-01,2019-01-08,7,18.22857143,41.396739926282,01,01
10696,ZR,2019-01-01,2019-01-09,8,17.5125,35.095956840391004,01,01
3833,ZI,2019-01-01,2019-01-04,3,40.07,87.04346917404399,01,01
10709,ZT,2019-01-01,2019-01-05,4,18.705,29.262280564263,01,01
5639,ET,2019-01-01,2019-01-06,5,27.956,70.54458490566,01,01
5617,ET,2019-01-01,2019-01-09,8,23.3075,59.494103697749004,01,01
5610,ZD,2019-01-01,2019-01-04,3,38.81666667,79.019895833656,01,01
5609,ET,2019-01-01,2019-01-04,3,27.94333333,65.302284528224,01,01
5594,ZI,2019-01-01,2019-01-07,6,32.56,65.768295576084,01,01
5593,ZR,2019-01-01,2019-01-07,6,21.06833333,31.162396164727998,01,01
5584,ZT,2019-01-01,2019-01-02,1,18.71,57.39159375,01,01
10715,ZR,2019-01-01,2019-01-06,5,25.044,37.666353312303,01,01
7341,ZI,2019-01-01,2019-01-08,7,28.09142857,58.067331187267,01,01
389,ET,2019-01-01,2019-01-02,1,27.92,67.090536277603,01,01
8979,ZD,2019-01-01,2019-01-09,8,26.52875,52.525752427184,01,01
7342,ZD,2019-01-01,2019-01-08,7,27.19714286,54.735764653077,01,01
400,ZE,2019-01-01,2019-01-03,2,27.165,63.57487012987001,01,01
401,ZR,2019-01-01,2019-01-03,2,18.76,31.978360128617002,01,01
7362,AL,2019-01-01,2019-01-09,8,21.54,58.047849678457005,01,01
7371,ZR,2019-01-01,2019-01-05,4,18.755,29.484122257053,01,01
3865,ET,2019-01-01,2019-01-03,2,27.93,65.472873015873,01,01
3847,ZL,2019-01-01,2019-01-06,5,80.456,97.844545454545,01,01
3846,AL,2019-01-01,2019-01-06,5,28.538,68.31497178683401,01,01
3841,AL,2019-01-01,2019-01-02,1,24.94,64.508867924528,01,01
3840,ZD,2019-01-01,2019-01-02,1,38.81,81.89971786833901,01,01
3836,ET,2019-01-01,2019-01-08,7,20.69571429,52.761456044904,01,01
3834,ZR,2019-01-01,2019-01-04,3,18.75333333,33.865830653859,01,01
394,ZD,2019-01-01,2019-01-07,6,31.51833333,63.446291532508,01,01
2187,ZL,2019-01-01,2019-01-05,4,92.0225,95.9034609375,01,01
436,ZD,2019-01-01,2019-01-05,4,38.8175,79.384797507788,01,01
10708,ZI,2019-01-01,2019-01-05,4,40.07,81.17854361370699,01,01
10662,ZL,2019-01-01,2019-01-02,1,90.72,96.71722397476299,01,01
2133,ZI,2019-01-01,2019-01-02,1,40.07,87.93394984326,01,01
2134,ZE,2019-01-01,2019-01-02,1,30.16,71.972811059908,01,01
8989,ZE,2019-01-01,2019-01-05,4,30.1725,64.476590389016,01,01
1995,ZI,2019-01-01,2019-01-10,9,26.9,55.136914777346,01,01
8994,ZI,2019-01-01,2019-01-06,5,38.818,78.699094339623,01,01
2142,ZL,2019-01-01,2019-01-07,6,67.30833333,81.344840255815,01,01
2016,ZR,2019-01-01,2019-01-10,9,16.95555556,30.641931899194002,01,01
2145,ZL,2019-01-01,2019-01-03,2,91.535,95.971015873016,01,01
2146,AL,2019-01-01,2019-01-03,2,24.94,62.165221518986996,01,01
2147,ZD,2019-01-01,2019-01-03,2,38.82,81.06919871794899,01,01
2173,ZT,2019-01-01,2019-01-09,8,17.45625,34.987548859935,01,01
2174,ZE,2019-01-01,2019-01-09,8,21.815,51.326533018868,01,01
2175,ZI,2019-01-01,2019-01-09,8,27.42125,54.987993527508,01,01
2160,ZT,2019-01-01,2019-01-04,3,18.70333333,33.458437498688,01,01
10642,ZL,2019-01-01,2019-01-10,9,57.09777778,75.265291176109,01,01
8973,ZI,2019-01-02,2019-01-09,7,27.49142857,58.642976189327,01,02
8950,ZR,2019-01-02,2019-01-03,1,18.76,47.208714285713995,01,02
8951,ZD,2019-01-02,2019-01-03,1,37.56,75.822257142857,01,02
2200,AL,2019-01-02,2019-01-07,5,30.4,67.098550632911,01,02
5627,ZE,2019-01-02,2019-01-06,4,30.1725,64.267241579559,01,02
7343,ZT,2019-01-02,2019-01-09,7,18.17285714,35.293293521768,01,02
390,ZE,2019-01-02,2019-01-03,1,26.87,66.35874265569899,01,02
2143,ZT,2019-01-02,2019-01-08,6,21.00166667,22.924172045581003,01,02
8995,ZE,2019-01-02,2019-01-07,5,30.504,71.019724053724,01,02
10643,ZE,2019-01-02,2019-01-11,9,20.95888889,48.521825495543006,01,02
12375,ZI,2019-01-02,2019-01-11,9,26.3,53.593162683481,01,02
5611,ZD,2019-01-02,2019-01-05,3,33.81333333,75.108553641092,01,02
10664,ZT,2019-01-02,2019-01-03,1,18.71,48.739142857143,01,02
10663,AL,2019-01-02,2019-01-03,1,24.94,64.384957507082,01,02
2176,ZR,2019-01-02,2019-01-10,8,17.5125,35.835491935484,01,02
12385,ZD,2019-01-02,2019-01-08,6,31.51666667,66.145124057023,01,02
12387,ZI,2019-01-02,2019-01-03,1,39.19,86.106744186047,01,02
8996,ET,2019-01-02,2019-01-07,5,28.346,68.878359621451,01,02
395,ZR,2019-01-02,2019-01-08,6,21.06833333,25.343641362013003,01,02
3962,ZL,2019-01-02,2019-01-10,8,61.88375,70.717032258065,01,02
8946,ZD,2019-01-02,2019-01-11,9,26.00777778,51.32293136331101,01,02
396,ZI,2019-01-02,2019-01-08,6,31.86,68.44985389415599,01,02
3861,ZL,2019-01-02,2019-01-06,4,53.075,94.83271428571399,01,02
3863,ZE,2019-01-02,2019-01-08,6,25.61833333,58.812997849458,01,02
2188,ZD,2019-01-02,2019-01-06,4,37.565,75.265165229885,01,02
10644,ZL,2019-01-02,2019-01-11,9,61.36222222,69.564487043195,01,02
3866,ZI,2019-01-02,2019-01-04,2,39.195,84.999061583578,01,02
3867,ZT,2019-01-02,2019-01-04,2,18.71,39.937965116279,01,02
3837,ZE,2019-01-02,2019-01-09,7,22.14714286,49.18778418279899,01,02
411,ZR,2019-01-02,2019-01-09,7,18.22857143,39.401758242019,01,02
7338,ZE,2019-01-02,2019-01-05,3,30.17,66.1496468761,01,02
1996,ZR,2019-01-02,2019-01-11,9,16.95555556,31.325495292475,01,02
7366,ET,2019-01-02,2019-01-11,9,23.43111111,53.89758190798101,01,02
7477,ZT,2019-01-02,2019-01-07,5,24.966,27.404955696202997,01,02
10683,ZL,2019-01-02,2019-01-05,3,53.07333333,95.33533143892001,01,02
425,ZD,2019-01-02,2019-01-10,8,26.52875,52.581705645161,01,02
426,AL,2019-01-02,2019-01-10,8,21.55,52.525091853035,01,02
10682,ET,2019-01-02,2019-01-05,3,27.94333333,66.572295239657,01,02
7363,ZT,2019-01-02,2019-01-10,8,17.45625,31.397026699029002,01,02
8945,ZT,2019-01-02,2019-01-11,9,16.89888889,27.465205273525,01,02
7372,ZR,2019-01-02,2019-01-06,4,18.755,38.681260683761,01,02
2148,AL,2019-01-02,2019-01-04,2,24.94,62.708851744186,01,02
12384,AL,2019-01-02,2019-01-08,6,25.59666667,56.088087607820995,01,02
12419,ZE,2019-01-02,2019-01-04,2,26.87,61.11347205707501,01,02
12442,ZI,2019-01-02,2019-01-06,4,39.195,84.010926724138,01,02
12441,ET,2019-01-02,2019-01-06,4,27.945,67.525747863248,01,02
12440,AL,2019-01-02,2019-01-06,4,24.95,69.101883954155,01,02
5595,ZL,2019-01-02,2019-01-08,6,64.77833333,78.396704058494,01,02
2161,ZD,2019-01-02,2019-01-09,7,27.19571429,57.03513278451899,01,02
12439,ZT,2019-01-02,2019-01-06,4,18.705,39.048114285714,01,02
8998,ZD,2019-01-02,2019-01-07,5,37.564,78.571961661342,01,02
7322,ET,2019-01-02,2019-01-03,1,27.92,67.354369747899,01,02
7323,ZL,2019-01-02,2019-01-03,1,53.07,95.26073654390899,01,02
12430,ZE,2019-01-02,2019-01-10,8,21.4775,48.808054361178996,01,02
12429,ZI,2019-01-02,2019-01-10,8,26.82125,55.118298387097,01,02
10672,ZL,2019-01-02,2019-01-04,2,53.075,95.28561959654199,01,02
2177,ET,2019-01-02,2019-01-10,8,23.9525,53.936471774194004,01,02
5578,AL,2019-01-02,2019-01-11,9,21.02777778,52.443298059143,01,02
10673,ZD,2019-01-02,2019-01-04,2,33.81,75.079548104956,01,02
7332,ET,2019-01-02,2019-01-04,2,27.93,66.02420977011501,01,02
5602,ZR,2019-01-02,2019-01-04,2,18.76,35.086107871719996,01,02
8970,ZT,2019-01-02,2019-01-05,3,18.70333333,43.146044059454,01,02
12412,ET,2019-01-02,2019-01-08,6,23.47666667,57.508381103854,01,02
8969,AL,2019-01-02,2019-01-05,3,24.95333333,63.784567899829,01,02
7337,ZI,2019-01-02,2019-01-05,3,39.19333333,85.530356453266,01,02
10717,ZI,2019-01-02,2019-01-07,5,37.978,81.26077460317501,01,02
12396,ZL,2019-01-02,2019-01-09,7,54.25714286,65.824221405402,01,02
12395,ET,2019-01-02,2019-01-09,7,20.34857143,51.294139194968004,01,02
2162,AL,2019-01-02,2019-01-09,7,22.22,49.068337162797,01,02
8968,ZR,2019-01-02,2019-01-05,3,18.75333333,40.733647618457,01,02
8997,ZL,2019-01-02,2019-01-07,5,77.42,93.607396226415,01,02
10716,ZR,2019-01-02,2019-01-07,5,25.044,30.285212698413,01,02
5629,ET,2019-01-03,2019-01-07,4,23.9775,64.157202194357,01,03
10697,ZT,2019-01-03,2019-01-11,8,17.45625,35.189236111111,01,03
10710,ZD,2019-01-03,2019-01-07,4,22.5475,67.4841015625,01,03
5599,ZT,2019-01-03,2019-01-09,6,21.00166667,22.275412597557,01,03
7367,ZL,2019-01-03,2019-01-12,9,58.42777778,78.879707792987,01,03
3864,ZD,2019-01-03,2019-01-09,6,31.51666667,63.45005428967399,01,03
5597,ZE,2019-01-03,2019-01-09,6,25.61833333,54.174669230631,01,03
5630,ZT,2019-01-03,2019-01-07,4,18.705,31.2632109375,01,03
